Age,CityTier,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,Occupation,Gender,MaritalStatus,Designation,ProductPitched,Passport,OwnCar
33.0,3,2,5.0,3.0,0.0,20376.0,3,2.0,6.0,Company Invited,Salaried,Female,Divorced,Manager,Deluxe,0,1
36.0,3,3,3.0,2.0,1.0,23395.0,3,4.0,7.0,Self Enquiry,Small Business,Male,Divorced,Manager,Deluxe,0,1
59.0,1,3,3.0,4.0,0.0,17177.0,3,4.0,9.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,0
51.0,3,3,5.0,6.0,1.0,29532.0,5,5.0,35.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,1,0
60.0,3,3,5.0,2.0,1.0,26315.0,3,4.0,32.0,Self Enquiry,Salaried,Fe Male,Unmarried,Senior Manager,Standard,0,1
43.0,1,3,3.0,2.0,1.0,23201.0,3,5.0,35.0,Company Invited,Large Business,Female,Divorced,Manager,Deluxe,0,0
44.0,1,4,3.0,2.0,3.0,20936.0,4,4.0,28.0,Company Invited,Small Business,Male,Divorced,Executive,Basic,0,0
45.0,3,3,3.0,5.0,2.0,31998.0,2,2.0,35.0,Self Enquiry,Small Business,Female,Divorced,AVP,Super Deluxe,1,1
29.0,1,4,5.0,3.0,1.0,23236.0,2,4.0,24.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,0
25.0,1,3,3.0,3.0,1.0,21564.0,4,4.0,14.0,Company Invited,Salaried,Female,Married,Executive,Basic,1,0
25.0,1,3,3.0,3.0,2.0,23055.0,3,5.0,24.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,0,1
42.0,1,3,3.0,2.0,1.0,33430.0,5,3.0,14.0,Company Invited,Salaried,Male,Married,VP,King,0,1
41.0,1,3,5.0,2.0,1.0,17289.0,5,3.0,15.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
47.0,3,3,3.0,8.0,2.0,22101.0,1,6.0,22.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,1,0
53.0,1,2,4.0,5.0,0.0,31598.0,1,1.0,8.0,Self Enquiry,Small Business,Male,Single,AVP,Super Deluxe,0,1
35.0,3,3,4.0,1.0,1.0,23020.0,1,3.0,22.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,1
55.0,1,3,3.0,3.0,1.0,31659.0,5,3.0,8.0,Self Enquiry,Salaried,Female,Single,AVP,Super Deluxe,1,0
30.0,1,3,3.0,2.0,2.0,22871.0,1,5.0,22.0,Self Enquiry,Salaried,Female,Unmarried,Manager,Deluxe,1,1
30.0,1,2,3.0,3.0,1.0,21091.0,2,5.0,8.0,Self Enquiry,Salaried,Female,Single,Manager,Deluxe,0,0
47.0,1,3,3.0,5.0,0.0,17105.0,3,3.0,15.0,Self Enquiry,Salaried,Female,Single,Executive,Basic,0,1
29.0,1,3,3.0,1.0,0.0,17168.0,5,5.0,21.0,Self Enquiry,Salaried,Female,Divorced,Executive,Basic,1,1
28.0,1,3,3.0,6.0,1.0,17377.0,3,3.0,15.0,Self Enquiry,Small Business,Female,Married,Executive,Basic,0,1
26.0,1,2,5.0,1.0,1.0,17875.0,4,4.0,13.0,Self Enquiry,Small Business,Female,Married,Senior Manager,Standard,1,1
59.0,3,2,3.0,1.0,0.0,20473.0,5,4.0,6.0,Company Invited,Salaried,Female,Single,Manager,Deluxe,0,1
34.0,1,2,3.0,4.0,0.0,17979.0,1,4.0,9.0,Company Invited,Salaried,Male,Married,Executive,Basic,0,0
54.0,3,3,4.0,4.0,2.0,26203.0,2,5.0,9.0,Company Invited,Small Business,Female,Divorced,Senior Manager,Standard,0,0
44.0,2,2,3.0,5.0,1.0,20985.0,5,4.0,6.0,Self Enquiry,Salaried,Female,Single,Manager,Deluxe,0,1
45.0,1,4,3.0,3.0,1.0,20689.0,4,2.0,9.0,Self Enquiry,Salaried,Female,Divorced,Executive,Basic,0,1
47.0,1,4,5.0,2.0,1.0,28074.0,2,4.0,7.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,0
45.0,1,4,3.0,4.0,2.0,20968.0,4,6.0,24.0,Company Invited,Salaried,Male,Single,Executive,Basic,0,1
32.0,1,3,5.0,3.0,1.0,21743.0,1,4.0,10.0,Company Invited,Small Business,Male,Married,Executive,Basic,1,0
59.0,1,3,3.0,4.0,1.0,34465.0,1,4.0,22.0,Company Invited,Salaried,Male,Married,AVP,Super Deluxe,1,1
55.0,1,3,4.0,1.0,1.0,33722.0,1,1.0,20.0,Self Enquiry,Small Business,Male,Single,VP,King,0,1
34.0,1,3,4.0,3.0,1.0,24166.0,3,2.0,7.0,Company Invited,Salaried,Female,Married,Manager,Deluxe,1,1
34.0,1,3,3.0,3.0,2.0,24646.0,5,4.0,14.0,Company Invited,Salaried,Male,Married,Manager,Deluxe,0,1
35.0,1,2,3.0,4.0,1.0,17506.0,3,1.0,6.0,Self Enquiry,Salaried,Female,Single,Executive,Basic,0,1
44.0,1,3,5.0,1.0,2.0,33213.0,3,3.0,29.0,Self Enquiry,Small Business,Male,Single,Executive,Basic,0,0
30.0,1,4,3.0,3.0,2.0,23734.0,3,5.0,15.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,1,1
38.0,3,3,3.0,2.0,2.0,20343.0,4,3.0,16.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,0,0
33.0,1,3,3.0,2.0,2.0,28357.0,1,5.0,12.0,Self Enquiry,Salaried,Male,Unmarried,Manager,Deluxe,0,0
29.0,2,2,5.0,2.0,0.0,22988.0,3,4.0,23.0,Self Enquiry,Salaried,Male,Unmarried,Senior Manager,Standard,0,0
33.0,1,3,3.0,5.0,0.0,31184.0,1,1.0,6.0,Self Enquiry,Small Business,Female,Married,AVP,Super Deluxe,0,1
44.0,1,3,3.0,2.0,0.0,17011.0,4,1.0,8.0,Self Enquiry,Salaried,Female,Divorced,Executive,Basic,0,1
46.0,3,4,5.0,6.0,1.0,29439.0,2,4.0,16.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,1,1
21.0,3,3,3.0,1.0,1.0,17625.0,5,3.0,24.0,Company Invited,Small Business,Female,Married,Manager,Deluxe,1,0
29.0,1,3,3.0,5.0,2.0,22338.0,4,4.0,17.0,Self Enquiry,Salaried,Female,Unmarried,Manager,Deluxe,0,1
60.0,3,2,3.0,1.0,0.0,20220.0,5,1.0,13.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,1,0
29.0,3,3,3.0,2.0,0.0,17642.0,4,3.0,16.0,Self Enquiry,Salaried,Male,Single,Executive,Basic,0,1
38.0,3,2,3.0,1.0,1.0,21861.0,3,3.0,9.0,Self Enquiry,Salaried,Male,Unmarried,Manager,Deluxe,1,1
35.0,3,3,5.0,2.0,0.0,24069.0,4,3.0,24.0,Company Invited,Salaried,Male,Divorced,Senior Manager,Standard,0,1
25.0,1,3,4.0,2.0,2.0,22275.0,5,4.0,31.0,Self Enquiry,Small Business,Male,Unmarried,Executive,Basic,0,0
34.0,3,3,3.0,2.0,2.0,27058.0,4,2.0,17.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,1,1
40.0,1,4,3.0,3.0,2.0,23231.0,1,5.0,9.0,Self Enquiry,Large Business,Female,Unmarried,Manager,Deluxe,0,1
35.0,1,3,5.0,3.0,1.0,24884.0,5,4.0,17.0,Company Invited,Small Business,Male,Divorced,Senior Manager,Standard,1,1
39.0,1,2,5.0,2.0,0.0,25880.0,5,3.0,28.0,Company Invited,Small Business,Fe Male,Unmarried,Senior Manager,Standard,1,1
37.0,1,1,3.0,5.0,0.0,28664.0,1,3.0,13.0,Self Enquiry,Small Business,Male,Single,Senior Manager,Standard,0,0
30.0,1,3,3.0,2.0,2.0,17632.0,1,3.0,24.0,Self Enquiry,Salaried,Female,Single,Executive,Basic,0,1
36.0,1,4,5.0,3.0,2.0,20752.0,1,4.0,9.0,Self Enquiry,Salaried,Female,Married,Executive,Basic,1,1
44.0,1,4,3.0,3.0,2.0,22759.0,4,5.0,13.0,Self Enquiry,Small Business,Female,Unmarried,Manager,Deluxe,1,1
27.0,1,2,3.0,2.0,0.0,27808.0,3,4.0,11.0,Self Enquiry,Large Business,Male,Married,Senior Manager,Standard,1,0
32.0,2,3,3.0,3.0,2.0,28530.0,1,6.0,29.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,0
30.0,1,3,3.0,2.0,1.0,17083.0,3,3.0,9.0,Company Invited,Small Business,Female,Married,Executive,Basic,0,1
38.0,1,2,4.0,4.0,0.0,27061.0,3,4.0,31.0,Self Enquiry,Salaried,Female,Divorced,Senior Manager,Standard,0,1
36.0,1,4,5.0,4.0,1.0,23771.0,4,4.0,9.0,Company Invited,Salaried,Female,Married,Manager,Deluxe,0,0
32.0,3,4,3.0,6.0,3.0,24850.0,3,6.0,13.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,1,0
40.0,1,3,4.0,2.0,1.0,28503.0,1,4.0,6.0,Company Invited,Salaried,Male,Married,AVP,Super Deluxe,0,1
46.0,3,3,4.0,4.0,0.0,31872.0,5,5.0,8.0,Self Enquiry,Large Business,Female,Married,AVP,Super Deluxe,1,1
29.0,1,2,3.0,2.0,0.0,18131.0,3,3.0,12.0,Self Enquiry,Small Business,Female,Divorced,Executive,Basic,0,0
48.0,3,4,3.0,6.0,3.0,25075.0,4,2.0,34.0,Company Invited,Salaried,Fe Male,Unmarried,Manager,Deluxe,1,1
32.0,1,3,3.0,2.0,2.0,21322.0,5,3.0,15.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,1,1
36.0,1,4,4.0,3.0,2.0,24041.0,3,4.0,14.0,Self Enquiry,Salaried,Male,Unmarried,Executive,Basic,1,1
30.0,3,4,3.0,3.0,2.0,23327.0,2,4.0,9.0,Company Invited,Salaried,Male,Divorced,Manager,Deluxe,0,1
35.0,1,4,3.0,4.0,3.0,22711.0,4,4.0,9.0,Company Invited,Salaried,Male,Unmarried,Manager,Deluxe,0,1
54.0,1,3,3.0,4.0,2.0,21128.0,5,4.0,13.0,Self Enquiry,Salaried,Male,Single,Manager,Deluxe,0,1
35.0,3,4,3.0,2.0,1.0,23982.0,1,2.0,26.0,Company Invited,Small Business,Male,Unmarried,Manager,Deluxe,1,0
41.0,1,3,4.0,2.0,1.0,22295.0,4,4.0,16.0,Company Invited,Small Business,Male,Married,Executive,Basic,1,0
25.0,1,3,3.0,2.0,1.0,21452.0,4,4.0,25.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,0
37.0,1,4,4.0,2.0,2.0,23809.0,3,4.0,11.0,Company Invited,Salaried,Female,Married,Manager,Deluxe,0,1
30.0,3,3,5.0,2.0,1.0,24714.0,4,4.0,6.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,1
32.0,3,3,3.0,4.0,1.0,25261.0,1,4.0,17.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,1,0
34.0,3,3,3.0,3.0,1.0,21529.0,2,4.0,12.0,Self Enquiry,Small Business,Female,Unmarried,Executive,Basic,1,1
20.0,1,2,5.0,2.0,1.0,17973.0,3,3.0,10.0,Self Enquiry,Large Business,Male,Single,Executive,Basic,0,1
37.0,1,4,5.0,8.0,3.0,25520.0,1,2.0,10.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,1
30.0,3,2,5.0,6.0,1.0,21696.0,1,4.0,32.0,Company Invited,Small Business,Female,Unmarried,Manager,Deluxe,0,1
34.0,1,2,3.0,5.0,1.0,26403.0,5,4.0,13.0,Company Invited,Salaried,Male,Married,Manager,Deluxe,0,1
33.0,1,3,5.0,6.0,2.0,20854.0,4,5.0,9.0,Self Enquiry,Large Business,Male,Single,Manager,Deluxe,0,0
38.0,1,3,3.0,3.0,2.0,30863.0,3,4.0,18.0,Company Invited,Salaried,Male,Married,Senior Manager,Standard,1,1
35.0,3,4,3.0,4.0,3.0,28391.0,4,4.0,11.0,Self Enquiry,Salaried,Male,Married,Senior Manager,Standard,1,0
29.0,1,3,5.0,2.0,1.0,23886.0,4,6.0,34.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,0,1
41.0,1,3,3.0,5.0,2.0,20891.0,3,3.0,17.0,Self Enquiry,Salaried,Female,Divorced,Executive,Basic,1,0
59.0,2,2,3.0,1.0,1.0,33844.0,1,4.0,8.0,Company Invited,Salaried,Female,Married,VP,King,0,0
56.0,3,3,3.0,2.0,1.0,32255.0,5,5.0,9.0,Company Invited,Salaried,Female,Single,Executive,Basic,0,0
28.0,1,3,3.0,3.0,1.0,20384.0,2,4.0,10.0,Company Invited,Small Business,Male,Divorced,Executive,Basic,0,1
28.0,1,3,4.0,2.0,1.0,22146.0,5,4.0,9.0,Self Enquiry,Small Business,Male,Divorced,Executive,Basic,0,1
27.0,3,2,3.0,1.0,1.0,21500.0,1,1.0,8.0,Self Enquiry,Small Business,Female,Unmarried,Manager,Deluxe,0,0
50.0,2,3,4.0,2.0,2.0,33200.0,1,3.0,9.0,Company Invited,Small Business,Male,Married,VP,King,0,1
38.0,1,2,3.0,5.0,1.0,22861.0,1,3.0,6.0,Self Enquiry,Salaried,Female,Unmarried,Senior Manager,Standard,1,0
34.0,1,2,5.0,3.0,0.0,26631.0,2,4.0,11.0,Self Enquiry,Small Business,Fe Male,Unmarried,Senior Manager,Standard,0,0
42.0,1,2,3.0,2.0,0.0,34232.0,1,3.0,10.0,Self Enquiry,Large Business,Male,Married,VP,King,0,0
31.0,1,4,3.0,2.0,1.0,22439.0,5,5.0,12.0,Company Invited,Salaried,Male,Married,Executive,Basic,0,0
37.0,2,3,4.0,6.0,1.0,20821.0,3,4.0,20.0,Self Enquiry,Salaried,Male,Divorced,Executive,Basic,0,1
46.0,3,2,5.0,4.0,1.0,33947.0,2,3.0,8.0,Self Enquiry,Small Business,Female,Single,VP,King,0,0
41.0,3,2,4.0,2.0,0.0,24355.0,3,3.0,10.0,Company Invited,Small Business,Male,Unmarried,Manager,Deluxe,0,1
56.0,1,3,4.0,3.0,2.0,32255.0,3,5.0,15.0,Company Invited,Small Business,Male,Married,AVP,Super Deluxe,1,1
27.0,1,3,3.0,2.0,1.0,22582.0,3,5.0,9.0,Self Enquiry,Small Business,Male,Unmarried,Executive,Basic,0,0
44.0,1,3,3.0,2.0,2.0,17936.0,3,3.0,16.0,Self Enquiry,Salaried,Male,Single,Executive,Basic,1,1
29.0,1,4,3.0,3.0,2.0,20241.0,4,5.0,7.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,0
29.0,1,2,3.0,1.0,0.0,17058.0,2,3.0,6.0,Self Enquiry,Large Business,Male,Single,Executive,Basic,0,0
32.0,1,3,4.0,7.0,2.0,17332.0,3,4.0,6.0,Company Invited,Salaried,Female,Married,Executive,Basic,0,0
35.0,1,4,3.0,3.0,3.0,21231.0,5,5.0,23.0,Company Invited,Salaried,Female,Single,Executive,Basic,0,1
33.0,1,2,5.0,7.0,1.0,18143.0,3,1.0,14.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
33.0,3,4,3.0,2.0,3.0,23143.0,4,4.0,33.0,Company Invited,Small Business,Male,Divorced,Manager,Deluxe,0,1
43.0,1,2,5.0,1.0,0.0,25820.0,4,3.0,33.0,Company Invited,Salaried,Female,Married,Senior Manager,Standard,0,1
44.0,2,4,3.0,2.0,1.0,22217.0,1,4.0,9.0,Self Enquiry,Salaried,Male,Unmarried,Executive,Basic,0,0
29.0,1,4,3.0,7.0,2.0,21055.0,3,4.0,16.0,Self Enquiry,Small Business,Female,Married,Executive,Basic,0,1
21.0,1,3,5.0,3.0,1.0,21651.0,3,4.0,11.0,Self Enquiry,Large Business,Male,Unmarried,Executive,Basic,0,1
38.0,3,4,3.0,6.0,3.0,28280.0,3,4.0,9.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,1,0
39.0,3,2,3.0,1.0,1.0,22880.0,2,1.0,8.0,Self Enquiry,Salaried,Male,Unmarried,Senior Manager,Standard,0,1
34.0,3,3,3.0,2.0,0.0,20714.0,1,3.0,15.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,0,0
37.0,1,3,4.0,2.0,1.0,23906.0,5,4.0,7.0,Self Enquiry,Salaried,Female,Divorced,Manager,Deluxe,0,0
51.0,1,2,3.0,1.0,0.0,34537.0,5,3.0,12.0,Self Enquiry,Salaried,Male,Single,VP,King,0,1
35.0,1,2,3.0,2.0,0.0,21646.0,5,5.0,12.0,Self Enquiry,Salaried,Male,Unmarried,Manager,Deluxe,0,1
37.0,1,3,3.0,7.0,2.0,21513.0,1,4.0,10.0,Self Enquiry,Salaried,Female,Married,Executive,Basic,0,0
47.0,1,2,3.0,2.0,0.0,31752.0,4,3.0,8.0,Self Enquiry,Salaried,Female,Married,AVP,Super Deluxe,1,1
29.0,1,3,3.0,2.0,0.0,20056.0,3,4.0,14.0,Self Enquiry,Small Business,Male,Divorced,Manager,Deluxe,1,0
56.0,1,2,5.0,3.0,1.0,17066.0,5,3.0,6.0,Self Enquiry,Salaried,Female,Divorced,Executive,Basic,0,1
40.0,1,2,4.0,2.0,0.0,20605.0,2,3.0,32.0,Company Invited,Small Business,Female,Married,Manager,Deluxe,0,1
42.0,1,4,3.0,4.0,1.0,25489.0,1,5.0,9.0,Company Invited,Salaried,Fe Male,Unmarried,Manager,Deluxe,1,0
45.0,3,2,3.0,7.0,0.0,33824.0,3,1.0,19.0,Self Enquiry,Small Business,Male,Single,AVP,Super Deluxe,1,1
45.0,1,3,3.0,1.0,0.0,31792.0,4,4.0,8.0,Company Invited,Small Business,Male,Divorced,AVP,Super Deluxe,0,1
41.0,3,2,4.0,2.0,1.0,31015.0,3,3.0,8.0,Self Enquiry,Salaried,Male,Single,AVP,Super Deluxe,0,1
51.0,3,3,3.0,3.0,1.0,31307.0,3,3.0,32.0,Self Enquiry,Small Business,Female,Divorced,AVP,Super Deluxe,0,0
32.0,1,4,5.0,3.0,2.0,20896.0,4,5.0,7.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
28.0,3,3,3.0,2.0,0.0,20253.0,3,3.0,15.0,Self Enquiry,Salaried,Male,Single,Manager,Deluxe,0,1
32.0,1,3,3.0,2.0,2.0,23499.0,4,4.0,12.0,Self Enquiry,Large Business,Male,Divorced,Executive,Basic,1,0
43.0,1,4,3.0,4.0,1.0,23909.0,5,2.0,10.0,Self Enquiry,Salaried,Female,Divorced,Manager,Deluxe,1,0
38.0,1,4,3.0,8.0,1.0,20768.0,3,5.0,9.0,Self Enquiry,Free Lancer,Male,Single,Executive,Basic,1,0
46.0,3,3,3.0,5.0,1.0,20772.0,5,3.0,11.0,Company Invited,Small Business,Male,Single,Manager,Deluxe,1,1
44.0,3,4,3.0,7.0,2.0,29476.0,4,5.0,32.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,1
41.0,3,4,3.0,4.0,2.0,25058.0,3,5.0,29.0,Self Enquiry,Small Business,Male,Divorced,Manager,Deluxe,1,1
40.0,1,3,3.0,2.0,1.0,25435.0,1,4.0,21.0,Self Enquiry,Salaried,Female,Married,Senior Manager,Standard,0,1
42.0,3,3,4.0,6.0,2.0,28525.0,3,3.0,32.0,Company Invited,Small Business,Female,Divorced,AVP,Super Deluxe,0,1
40.0,2,3,4.0,2.0,1.0,25067.0,1,2.0,10.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,0,0
27.0,1,2,3.0,2.0,0.0,17394.0,5,3.0,23.0,Self Enquiry,Salaried,Female,Single,Executive,Basic,1,1
48.0,3,2,4.0,1.0,0.0,22898.0,1,4.0,8.0,Self Enquiry,Small Business,Male,Unmarried,Manager,Deluxe,1,1
39.0,1,3,5.0,3.0,2.0,20377.0,5,3.0,16.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,1
36.0,1,3,3.0,2.0,2.0,22908.0,4,6.0,29.0,Self Enquiry,Salaried,Male,Unmarried,Executive,Basic,0,1
51.0,3,3,3.0,3.0,1.0,21361.0,4,5.0,10.0,Self Enquiry,Small Business,Male,Divorced,Executive,Basic,1,0
48.0,3,3,3.0,2.0,2.0,32448.0,5,4.0,10.0,Company Invited,Small Business,Female,Married,AVP,Super Deluxe,1,1
35.0,3,3,5.0,4.0,1.0,23966.0,3,3.0,23.0,Self Enquiry,Salaried,Male,Divorced,Manager,Deluxe,1,1
31.0,1,3,5.0,2.0,1.0,28635.0,4,4.0,27.0,Self Enquiry,Salaried,Male,Divorced,Manager,Deluxe,0,1
26.0,1,2,3.0,2.0,1.0,17366.0,1,4.0,11.0,Company Invited,Small Business,Female,Married,Executive,Basic,1,0
54.0,1,3,5.0,1.0,0.0,20485.0,3,3.0,25.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,1,0
39.0,1,4,3.0,8.0,1.0,21735.0,4,4.0,9.0,Self Enquiry,Small Business,Male,Divorced,Executive,Basic,1,0
44.0,1,2,3.0,3.0,1.0,21465.0,3,3.0,16.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,1,0
48.0,1,2,3.0,3.0,1.0,30202.0,5,4.0,10.0,Company Invited,Small Business,Male,Married,AVP,Super Deluxe,0,1
43.0,1,2,5.0,1.0,0.0,24985.0,5,3.0,13.0,Self Enquiry,Salaried,Female,Married,Senior Manager,Standard,0,1
34.0,3,2,3.0,2.0,0.0,21274.0,5,3.0,8.0,Self Enquiry,Salaried,Male,Single,Manager,Deluxe,0,0
27.0,3,3,3.0,7.0,1.0,22984.0,5,4.0,36.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,0
32.0,3,3,3.0,3.0,1.0,25610.0,2,4.0,27.0,Company Invited,Small Business,Female,Divorced,Manager,Deluxe,0,1
31.0,3,3,4.0,5.0,2.0,27928.0,4,4.0,36.0,Self Enquiry,Large Business,Male,Married,Senior Manager,Standard,0,0
36.0,1,3,4.0,1.0,2.0,20914.0,2,3.0,11.0,Self Enquiry,Salaried,Male,Single,Manager,Deluxe,0,0
55.0,3,3,5.0,4.0,2.0,24618.0,4,4.0,10.0,Self Enquiry,Small Business,Female,Divorced,Manager,Deluxe,0,1
51.0,1,2,4.0,6.0,1.0,20482.0,1,5.0,8.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,0
41.0,1,3,3.0,3.0,2.0,38304.0,3,5.0,21.0,Self Enquiry,Small Business,Male,Single,VP,King,0,1
59.0,3,2,5.0,1.0,0.0,22637.0,3,3.0,31.0,Self Enquiry,Salaried,Female,Unmarried,Senior Manager,Standard,0,1
24.0,1,2,5.0,3.0,1.0,18172.0,3,3.0,15.0,Company Invited,Small Business,Male,Single,Executive,Basic,1,0
46.0,3,3,5.0,1.0,1.0,32048.0,1,3.0,8.0,Self Enquiry,Small Business,Female,Married,AVP,Super Deluxe,0,1
51.0,3,3,3.0,1.0,1.0,20441.0,5,3.0,27.0,Self Enquiry,Small Business,Male,Single,Manager,Deluxe,1,1
47.0,1,3,4.0,1.0,0.0,26957.0,5,3.0,6.0,Company Invited,Small Business,Female,Married,Senior Manager,Standard,0,0
44.0,3,3,3.0,2.0,2.0,24024.0,2,6.0,16.0,Self Enquiry,Small Business,Fe Male,Unmarried,Manager,Deluxe,0,1
36.0,1,4,3.0,3.0,3.0,29363.0,4,5.0,16.0,Self Enquiry,Salaried,Female,Married,Senior Manager,Standard,1,1
41.0,1,4,3.0,3.0,3.0,23339.0,3,4.0,9.0,Self Enquiry,Salaried,Male,Unmarried,Manager,Deluxe,0,1
56.0,1,3,3.0,1.0,2.0,17339.0,4,3.0,13.0,Self Enquiry,Large Business,Male,Married,Executive,Basic,0,1
38.0,1,3,3.0,2.0,1.0,22178.0,5,2.0,12.0,Company Invited,Large Business,Male,Unmarried,Executive,Basic,0,1
35.0,3,2,5.0,1.0,1.0,25306.0,5,4.0,16.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,1
29.0,1,3,3.0,2.0,2.0,26935.0,1,4.0,9.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,0
44.0,1,3,5.0,2.0,1.0,28663.0,5,4.0,14.0,Self Enquiry,Salaried,Female,Married,Senior Manager,Standard,0,1
44.0,1,4,3.0,5.0,1.0,24357.0,3,4.0,16.0,Company Invited,Small Business,Male,Married,Manager,Deluxe,1,1
38.0,1,2,3.0,1.0,0.0,24526.0,3,4.0,29.0,Company Invited,Salaried,Male,Unmarried,Senior Manager,Standard,0,1
25.0,1,3,3.0,3.0,1.0,23055.0,3,5.0,24.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,0,0
42.0,1,2,3.0,3.0,0.0,20265.0,2,3.0,27.0,Company Invited,Small Business,Female,Married,Manager,Deluxe,0,0
39.0,3,2,3.0,5.0,1.0,20902.0,5,4.0,10.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,0,1
26.0,1,3,3.0,6.0,2.0,21907.0,5,4.0,7.0,Self Enquiry,Large Business,Male,Divorced,Executive,Basic,0,1
30.0,3,3,5.0,2.0,2.0,17033.0,5,4.0,18.0,Company Invited,Salaried,Male,Married,Executive,Basic,0,1
36.0,1,2,3.0,2.0,1.0,25096.0,4,3.0,14.0,Self Enquiry,Large Business,Female,Married,Senior Manager,Standard,0,1
35.0,1,3,4.0,1.0,2.0,26996.0,5,1.0,28.0,Self Enquiry,Salaried,Female,Married,Senior Manager,Standard,0,1
28.0,1,3,3.0,2.0,1.0,17070.0,2,3.0,15.0,Self Enquiry,Small Business,Male,Divorced,Executive,Basic,0,1
26.0,3,3,3.0,3.0,1.0,24422.0,3,5.0,12.0,Self Enquiry,Small Business,Male,Unmarried,Manager,Deluxe,1,1
30.0,1,2,3.0,2.0,1.0,17206.0,4,4.0,15.0,Self Enquiry,Small Business,Male,Single,Executive,Basic,0,1
36.0,3,2,3.0,2.0,0.0,25325.0,1,4.0,9.0,Self Enquiry,Salaried,Male,Married,Senior Manager,Standard,1,1
30.0,1,4,3.0,3.0,3.0,21117.0,3,5.0,31.0,Company Invited,Salaried,Male,Single,Executive,Basic,1,1
50.0,3,2,3.0,5.0,1.0,34331.0,5,3.0,5.0,Self Enquiry,Small Business,Male,Married,VP,King,1,0
29.0,3,3,4.0,3.0,1.0,21644.0,4,4.0,8.0,Self Enquiry,Small Business,Male,Divorced,Manager,Deluxe,0,0
44.0,3,3,3.0,2.0,1.0,24024.0,1,6.0,16.0,Self Enquiry,Small Business,Fe Male,Unmarried,Manager,Deluxe,0,0
32.0,1,4,3.0,2.0,3.0,32353.0,4,4.0,10.0,Company Invited,Small Business,Male,Married,Senior Manager,Standard,0,1
24.0,1,2,5.0,1.0,0.0,17296.0,3,4.0,27.0,Self Enquiry,Large Business,Male,Married,Executive,Basic,0,0
27.0,1,3,5.0,3.0,2.0,23419.0,3,4.0,18.0,Company Invited,Small Business,Male,Divorced,Manager,Deluxe,1,1
40.0,1,3,3.0,2.0,2.0,24094.0,4,4.0,14.0,Self Enquiry,Small Business,Male,Unmarried,Executive,Basic,1,1
23.0,1,4,3.0,3.0,3.0,21613.0,3,2.0,23.0,Company Invited,Small Business,Male,Married,Executive,Basic,1,0
43.0,1,3,3.0,1.0,2.0,17258.0,4,3.0,27.0,Company Invited,Small Business,Male,Divorced,Executive,Basic,0,0
33.0,1,2,3.0,2.0,1.0,20968.0,5,3.0,13.0,Company Invited,Salaried,Male,Married,Manager,Deluxe,0,1
50.0,1,3,3.0,5.0,2.0,17380.0,5,3.0,15.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
28.0,1,4,3.0,3.0,3.0,21244.0,1,5.0,10.0,Company Invited,Small Business,Male,Married,Executive,Basic,1,0
